Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-04-30,1537.65,37049.02,149731.21,5127.1,112538.1,0,936.41,3684.1,4297,43497.5,13951.8,4138.5,94.5,2992.75,172200.5,9673.75,26929.5,20285.6,435.5,0,1566.8,4378.89,0,0,0,350,3200,1118,0,3425,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-02,9055.9,112230.2,315358.36,5281.2,5714.8,0,15.87,0,8879.45,25079.4,3201.84,2029.5,1080.5,12197.61,2395,15308802.89,79662.68,10747.67,502.47,856,4249.6,1009.2,0,0,0,9.5,104,55.9,2100,0,0,0,0,0,40290,0,0,0,575,0,0,0,0
2024-05-03,52803.8,24566.87,229311.28,17797.16,5434.7,0,610.74,160,3583.85,1017.25,33177.54,1021.5,11957.5,8598.28,67248,5249896.92,71010.6,68798.97,2410.8,0,2946.33,5232.6,0,0,0,90,919.85,1905.3,700,9590,0,0,0,0,70,0,0,0,0,0,0,0,0
2024-05-06,3038,52384.62,163659.39,49921.38,0,0,0,3321,8098.1,807.69,2251.2,220.5,948.3,4658,14035,43932.8,2280,2716,390,0,909.6,294.8,0,146.25,0,28000,0,271.95,700,0,0,0,0,0,6300,0,0,0,0,0,0,0,0
2024-05-07,49798.5,124517.94,218327.67,6893.5,12422.05,0,10945.25,5801.8,1513.85,612.5,1913.15,0,11921.5,17916.25,20714,47553.2,18887.5,7058.5,89.5,2804,4406.67,91.3,0,337.5,0,5772.5,39.9,130,700,216170,1210.55,0,0,0,380,0,0,0,0,0,0,0,0
2024-05-08,21906.87,18964.33,129030.3,8178.87,6164.9,0,18.9,46053.79,1386,63215,28467.55,89.7,639716,1820,2179.55,7673.4,7524,3840,0,300,1361.08,0,0,371.25,0,0,0,18,1390,0,0,0,0,0,184412.5,0,0,0,425,0,0,0,0
2024-05-09,6250,38080.71,73250.13,24597.91,7073.5,0,446.25,3601.57,490,30015.5,26533.75,2950.74,14030,2317.5,0,17242.89,6654.1,15316.6,0,4140,489,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0
2024-05-10,3510,26755.12,44031.04,441523.56,25690.7,0,737.6,2713.2,2866.05,97619.27,40549.5,0,460.1,4160,119282,11174,74886.25,24747.25,3014.7,0,1808,1395.5,0,562.5,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-14,53845,67484.6,177618.97,1103095.27,8483.2,0,0,19113,1410.76,83640,23799.7,101.05,357.78,11700,0,4404.8,282.69,26086.29,0,4213,1013.6,0,0,0,0,0,0,180150,0,4180,0,0,0,0,1001,0,0,0,300,0,0,0,0
2024-05-15,13576,86910.96,218090512.51,26021.1,13482.4,0,13891.68,10497.5,2912,190,14869.55,285,6930.96,25608.4,39224.7,31313,8976.43,9865.25,2658.5,1788,1462.4,0,0,0,0,183.6,15.96,0,0,9791.88,0,0,3666,0,0,0,0,0,75,0,0,0,0
