Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-03-21,27.34,2702574.62,5034.22,1133.71,298.61,0,772.98,35.69,99.55,233.62,10.33,9.26,275.99,64.6,751.42,1044.39,24.65,43.04,97.54,13.15,16.14,47.89,0,0.52,0,0.55,0,0,67.24,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0
2024-03-22,216.71,1221.8,455.53,3414.85,392.69,0,8.07,0,32.5,79.02,6154.54,2219.16,602.18,797.71,943.81,62.44,91.97,1249.2,11.56,2.97,13.27,3.84,0,24.33,0,0,0,0,40.2,398633.81,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-25,33.33,2811.33,1327.33,18109.54,1903.55,0,464.99,613.04,118.24,576.02,3259.15,6.52,192.09,21.12,373.71,691.04,94.36,3427.04,0.77,2.91,202.86,70.83,0,0,0,0,7.26,29.43,60.23,1685.37,0,4.45,0,0,7779.6,0,0,0,3.3,0,0,0,0
2024-03-26,190.56,61828.19,4036.7,16322.89,2012.21,0,31.84,4.48,244.92,166.94,135.26,2021.71,292.36,468.61,161.66,469.35,214.23,614.18,23.1,129.92,225.24,19.81,0,0,0,0,0,0,0,403.17,0,0,0,0,17918.53,0,0,0,3.31,0,0,0,0
2024-03-27,0,1760.42,3328.98,895.03,1578.15,0,206.44,762.45,6.12,424.07,192.75,2036.79,132.95,12.32,98.1,3311.76,527.97,1675.18,6.93,0,306.98,65.9,0,0,0.28,0,0,29.95,0,372.69,0,3.56,0,0,8718.37,0,0,0,36.3,0,0,0,0
2024-04-01,102.51,5980.64,1174.78,48.11,172.49,0,0.66,71.95,238.48,46.56,5607.92,52.11,20.91,494.3,411.93,1305.74,162.68,795.4,78.92,0,60.24,0,0,0,0,0,0.44,28.77,41.88,168.17,0,0,0,0,210.8,0,0,0,0,0,0,0,0
2024-04-02,42.47,1543.6,2236.87,7936.6,255.64,0,10.15,235.19,391.74,246.53,100.44,0,54.38,2559.65,5512.45,357.86,67.21,3118.66,0,0,1617.9,68.85,0,0,0,0,0,28.96,0,1274.13,0,0,193.05,0,0,0,0,0,0,0,0,0,0
2024-04-03,89.67,287.72,9971.49,60.18,1774.63,0,189.04,75.02,0,848.24,379.82,0,134.05,6345.58,2269.27,237628.15,6739.18,8863.87,14.38,0,861.39,14.24,0,0,0,0,0,0,23.7,0,0,18.73,0,0,1.07,0,0,0,6.61,0,0,0,0
2024-04-04,193112.71,82.49,3790.1,2811.7,276.92,0,55.48,35.71,12.31,42.07,2180.02,12.91,15.86,1814.97,4.03,1707.82,103.44,73.59,19.17,43.1,18.54,3.56,0,2.12,0,0,0,178.47,0,1489.66,17.66,0,0,0,1.93,0,0,0,0,0,0,0,0
2024-04-05,12.42,4166.73,11178.09,1106.65,113.01,0,315.38,229.63,5.39,179.72,1578.77,0,268.87,4203.55,39.77,175.02,756.5,195.48,37.12,89.75,86.96,25.43,0,12.2,0,0,0,40.26,0,36.45,28.28,17.88,0,0,4.83,0,0,0,0,0,0,0,0
2024-04-08,83.57,1336573.35,3564.27,73.94,884.16,0,65.82,51.16,79.49,7.69,34.63,125.59,51.2,15.33,87.43,469.12,133.53,30.33,16,21.8,90.28,26.73,0,6.07,0,0,0.22,8.28,0,0,41.57,0,0,0,17.66,0,0,0,9.27,0,0,0,0
2024-04-09,59.29,284.5,5363.53,7478.14,350.29,0,27.94,23.08,174.1,508.96,565.99,0,7.54,1146.55,855.1,168673.15,255.37,236.82,28.11,0,22.1,33.44,0,0,0,0,0,34.96,46.99,58.04,54.97,48.31,0,0,20.98,0,0,0,0,0,0,0,0
2024-04-10,80.04,532.02,3946.82,618.16,166.53,0,185.34,340.7,110.13,244.27,828.04,64.22,409.57,576.14,0,509.56,10.9,132.24,0,16.04,167.67,158.03,0,0,0,0,0,12.83,20.56,0,42.49,0,0,0,0,0,0,0,3.31,0,0,0,0
2024-04-11,14.41,1018.98,3971.07,338.88,268.74,0,21.21,25.36,32.61,148.87,1914.44,68.29,53.38,1653.01,238.99,391.38,56.15,300.72,119.76,20.34,136.41,175.14,0,0,0,0,824.84,17.91,0,0,41.65,0,0,0,0,0,0,0,6.63,0,0,0,0
2024-04-12,137.46,275.62,4634.34,26068.74,33.64,0,33.37,29.83,130.27,1016.73,848.46,2311.03,34.55,3231.36,1123.18,734732.45,548.53,7948.43,16.53,0,135.97,31.7,0,0,0,0,642.89,100.62,0,0,80.34,0,23.43,0,18.19,0,0,0,3.17,0,0,0,0
